text,label
म सकलप करतय यणऱय वरष कणल टरबजयचमपगबरचटय भटकडय सघटय तडपर नच मद भककरचट तटट चट पतरकर अस कहह बलयच नह नट नटक वगयच शहणय सरख सवचर टकयच,1
नककचहदतवच तलन ISIS श कश कर शकत लज वटल पहज एवढ कसल हद दवष यल सलमन खरशद तमच जहर नषध,1
जनतचय घमचय पशवर अजतददच फलतच मज मजज चलयअर ह कय फलतगर आहकठ फडल ह पप,1
खरसमसल नरजव झडल लइटग लवणय पकष एखदय गरज वयकतल २४ LED बलब घवन तयचय घर उजड करव,0
ह चद पतरकरत आह कह दवसपरव सन लओनच दनकरम सगत हत वचकन ह लकशहच चथ खब,1
लकन आजचय बदच कस तरस हतय हच यथल रडबज मडय दखवणर आह,1
मग दसणरय महत फलकवर इगरज आण हद मजकर लहल आहह हदच लळपस गर कश सठ तयत मरठच समवश क नह,1
आटपट नगरत टचभर गव तय गवत तझ झटभर नव बटय नवसठ तझ धडपड कत त हस ढगत तझ औकत दड वत महश,1
तमचयच पकषयतल लफग लक गलचछ वगन सगळकड घण पसरवत आहत,1
कसल ह फलत पलनग कत मरख शरप शटर कत फलत शसतर इतक अधळय सरख नम इतक फलत नटक इजजत क फलद कर दय इतन बड गगसटर क,1
अर खळचट वघ बन शपटच तलच फडवर नचयल लगणर,1
दनक 14 फबरवर 2019 रज झललय पलवम अटक मधय शहद झललय CRPF जवनन शरदधजल अरपत करणयसठ मडव समदरकनर सधयकळ 5 वजत करयकरम हणर आह,0
ह तय आमदर आण अजत पवरन बल द क त तथ तवह कय करत असत र,0
जरदर परगत करत तमच शल इजन ससट सटतय मग तच,0
रय न दखववन दल क कमलबई आण कतरकर मडय खर डककर आह,1
कत ग खव र परसनन परगम आहस न तपनह महणयच जतयवद करतत ह लक तझ नच परवतत बघ न नलयक,1
झकस भऊ लगनतल दसतय फट,0
सघमळच धमम जगभर पहचल बदधच अपहरण करणयन बदधल वषणच अवतर तर कलच पण सघ ह शबदह चरल बदधन भगवन महणततत भगव यवरन आल आहपणय भगवय रगचह अपहरण झल मणस मठ झल क तयच अपहरण करयचपण तयचय वचरचय वपरत वगयच,0
कज तलख मधल हरवय झडय वरधत हदतव आकरमक शवज महरज चकत भगवय शजर लवल हत समजकटकन लवल हत हरव झड उपटल फकल हरव आमचय सग टकरवल तर घड लवलय जईल हदतव आकरमक,0
य घडयळच कमत 20 लखचय आसपस हत अस सगणयत यत आह,0
बबय ह इतहस चर आण मनवद भडव हत आह आण रहणर,1
हय लकमळच चतय शबदल महतव परपत झल,1
Boycott_KBC_SonyTv आपलय बपच नव पण अस घत क भडयन तमहल मगन पढन ठकल पहज,1
गडकर पतळ तडणर तलबन परवततच आहत तर सभज रजन सतरलपट महणणर गडकर कठलय परवततच महणव,1
ह कडक हत सदय आल आईघलय,1
मलल यसफझईन लगनबबतच वचर बदलणयमगच करण सगतल आह,0
तझय लडय बपन पज कल हत कय झवनय,1
आमचय गवत यल बयलय महणतल,1
लगननतरच त पहल रतर हत मझय आयषयत नवर महणन ज परष हत तयचय जवळ यणयच मझ पहलच अनभव हत Repost,0
पणयत समहक बलतकर करणर मसलम हत मखयमतरयन यवर एक शबद कढल नह दसरकड एक बलतकर झल तयतल गनहगर मसलम नहत मखयमतरयन त परपरतय आह सगत तयचय नवच उदधर कल यलच वट बकच रजकरण महणतत,1
जनव भभच पचच मरल,1
आपलय वरडसबतच सपरण मबईसठ उततम कमगर करणर नगरसवक यन वढदवसचय खप खप शभचछ,0
कय र लडय त अनन खत क मत च खत हरमखर MaharashtraBandh महरषटर_बद शतकर_हतयर_भजप लखमपर_कसन_नरसहर,1
दळभदर जनवरच भकरचट अवतरतल दलदर फट,1
मदरचद भकड सल एकटयल टळकयन मरहण करतत,1
अर भडखऊ नलय तझ लयक नह र गलबरव पटल यचय वर टक करयच मदरचद सलय चटट सल छट गलड फलक जसत बलल तर कणकवलत यऊन मर सलय तल,1
अह शलर भतखळकर दरकर रण वघ आण समसत अध आण मद भकत मडळ बघतय न क आत करट महणतय कवड च मकबल करणयत महरषटर अगरसर रहलय बरनल ऑरडर कल क र,0
सकस उखण Sex Ukhane अधक वचणयसठ भट दय रवच अड छट खप पण चक खप गळतत दमन जत पचच मझ इतक रज मल सळतत Marathi Ukhane,1
ह मझ WA पसट हत 27 फबरवर 2017यत सन कश आह व मरठ मणसल कस भकल लवल त लहल आह,1
पटल दनव फडणवस डबल ढलक बद कर तमचय फलत गळगळत शबदन ह भक घलत नहत Patch up चय बत कळसवणय वट लगलय आहत,0
MUST READ कवशलड बसटर डस ओमकरनपसन कत सरकषण करल सवसतर वचणयसठ Link,0
य अस करयच नसत नहतर बई आपलयल मरणर त सरक य झवणय बपल शकवत क च परयतच परवस कललय सरव बलमतरन बलदन चय हरदक शभचछ,1
सवत कह करयच नह आण दसरयन कल क फकट खयल ययच सनत ह itcell नवन फलत अजड चलवणर जमत आध बरखसत कल पहज,1
सड महत नह पण सडतल वहन मतर झवड आह,1
कवड कळत एककड वरक फरम हम सर असतन महपलकश सबधत कमसठ नगरकन महनगरपलकचय करयलयत जव लगत हत Chatbot मळ नगरकन घरबसलय ह कम करत यतलच शवय आत परदरशक दरजदर नगरसव अतयत कम वळत एक कलकवर उपलबध हतल,0
कत लब लबच फकयच कह लमट असत क नह,0
अखल भरतय वदयरथ परषद रतनगर शहर Letter to ISRO शसतरजञ यच अभनआज १९ सप,0
अतशय जड चलखत सरख कतड असणर ह परण एकशग गड एकट रहण पसद करतत जगल तड ह परण जवनवरल मठ सकटच आह परणयचय कतड दत शग य सठ मनवन अतशय करर पण परणजवन सपवत आणल आपल अतरक भक वनशक आह,0
ह बद लळसमरट चय सगणय वरन आह,1
२४ तस टवटर वर पडलल असत बनडक,1
ककण भषतल सहतयसठच परसकर वजत सजव वरकर सहतय अकदम वरषक परसकर वजतय समध कमत दसई बलसहतय परसकर वजतय शरदध गरड य ककण सहतयकसह सरव परसकर वजतय सहतयकच मनपसन अभनदन,0
शवसन क गड रज,1
पढचय नवणकत तळजपर वर सदध शवसनच भगव असल,0
मघलचय अवलद सततवर आहत महणलयवर आणख कय हणर आह,1
तर महणल कळतडय रतळयल पटदख झल कश नह,1
कय सगत परवनग नसतनह सजय रऊतचय नततवत औरगबदल आकरश मरच पलस आयकतच मठ वधन Aurangabad SanjayRaut AmbadasDanve ShivSena,0
मरठ यव तमहल कधह मफ करणर नह AataMaafiNaahi EkMarathaLakhMaratha MahaVishwasghaat ShameOnMahaGovt,0
ह कय झवझव हय क आस बलत आह पत वरत चडतय वटत चड चड सह पकड,1
सवतचय नकरतपणच खपर शवट मरठ आरकषणवर फडल,0
अर मठयपरत नदवर तरगत नह आल रदभक ससल,1
ह क आईघलय followers च चटत क त बघ अजन कय नवन महत मळत क त तझयकड कण अस जव दल हत क महणन तल लकषत रहलल दसतय,1
घरत नह दण पण मद ससदत आण,0
Amravatidangal Malegaon दगलमधय दखपत झललय तसच हन झललय धरकऱयन व हदतववद यन मदत कर ह आपल धरम करतवय आह,0
अगद खर आह कवळ आजच दवश हततमयच फट लवन तयच समरण करन दन फल चढवन दलल शरधदजल मतर नररथकच ठरल,0
जय चडक उदयसतजय चडक उदयसत गरणईचय कशतन भगव अरणदय झल चळसगव शवबचय आगमनच नगर वजल,0
औरगबद सधदरथ उदयनचय परणसगरहयतल परणयसठ महपलकन आत दततक यजन जहर कल आह दनशर वयकत ससथन परणयवर परम करणऱय नगरकन आत वरषभरसठ परणयच पलक हत यणर आह,0
कलहपरकर तझय आईल झवयल आल हत कयरडचय,1
ममतबईन ह तथकथत टल आह क,0
इतक वरष कदरत सततत असन कगरस सरकरन सदध कध मरठ भषल अभजत भषच दरज दल नहआण आत सततत असणर भजप सरकर सदध मरठ भषल अभजत भषच दरज दत नहय,0
आररर कय ह चतगर,1
मबई तक च टकलय मव आघड च धण भड करत असत त कशल दनह बज दखवन तयच पगर मळल क तयल,1
जममकशमर बडगममधय लषकरचय दहशतवदयल अटक शसतरसतर आण इतर सहतय जपत,0
जमम कशमर परजसततक दनपरव दहशतवद हलल हणयच शकयत लकषत घऊन सरकष वयवसथ वढवणयत आल आह JammuKashmir shopian encounter Terrorists marathinews,0
बजरग दल तरफ कशमर घटत हत असललय हद शख समदयचय हतय वरधत वदरभ भरतत ववध सथन वरध परदरशन करणयत आल आतकवद_क_कबर_खदग_हदसथनक_धरत_पर,0
इकड कनडयच हटल बर फड औकत वर यतल,1
अर डयचडडछप सघच पदस लल सपरपटलचय शदय वर जगणर तमह कतर आमहल पटलक शकव नक,1
दवत जणत रज शर छतरपत शवज महरज,0
ह अन तमह चकतल टग गलब सरख मद वषय फडणवस वषय कहह बलवर तमच सजय रव तर सवत ल अमरकच अधयकष समज लगलत अचनक तयन सगळ जञन आतमसत झलयसरख वगयल लगलत ईशवर तमह सगळयन सदबदध दव,0
पल सदध असच आह अरधवट कध अपघत हईल सग शकत नह,0
भजप महणज दतड रकषस,1
कय र अरध चडड चतकर बदध आरयन खनकड न अमल पदरथ सपडल न क तयन अमल पदरथच नश कलयच सदध झल त कय सवतल नययधश समजतस क मठय,1
तझय आईच भसड तमचय आईचय गडत दम नसत फकत लकचय मटर मधय बट घलयच आण वस घयच सवय असत तमहल आईघलय न,1
मद सरकरन पगसस घऊन आपलयच लकवर पळत ठवल ह दशदरह आह PegasusSpyware Pegasus Narendramodi RahulGandhi,0
लसकरणवरन शवसन करत असलल परपगड खसदर मनज कटक सरन उधवसत कलय,0
कक जखम ससन उभ आह ह सहयदर कळजत आरपर रतन बसलल बण आजह रकतचय चळकडय उडवत पट उपश रहल पण नजर भदक हतय अवसन गल हत पण भगव दसल क हततच बळ धरण करन दययच इच इच भमसठ शर धडवगळ कल,0
बयक च ऐकणर कपटन नक,1
वधनभवन कणचय बपचय मलकच आह क तथकथत फरगम लबरड पतरकर कय अककल चलवततपआर कपनकडन पकट आल ककटलह टगणर ह टवट बनडक अधयकषल सलल आह क लटर लचर तघड सरकरचय मजरवर कध थबड उचकटणर क,1
ViewersWithVikasPatil आपल वकस एकदम झकस,0
अर चटय एक घरत २ खसदर २ आमदर चलतत एक घरकबड मखयमतर एक उनड मतर चलत कत लज सडणर पतरकरचय नवखल,1
आमदर सहब तमहल शवज महरज खरच कळलच नहत फकत भमक करत तस तयच वचर पण घय जर,0
दतपरण अतरगत परभदततरय यन सहसतररजन यस परणयमच महतव अषटग यग यदवर समध सधन परयत कस जव ह मरगदरशन कल रमदस सवम न उपदश कल दहरप भड अध शदध कर मग बहरल जञन सपदनस कहवळ लगनर नह,0
अर वह सग नघन गल आण यडयल हस आल आत बलपळ,0
तमह जग नहतर झक मरन जव दय पण भड दसऱयन नट जग दय,1
तझ वकडतडय झपच कढत असत,1
महल अतयचर मधय कटबक छळच परकर वढतन दसतत,0
कण आह ह मदरचद तनमय फडणवस तयल कश कय लस मळल,1
आध वहडओ चलत नहवत आतत चललय हय NGO चय चदरमद ल अजन कस कटव,1
सगळ तमह कल हत मग त गपय रजयसरकर चय नवन बब क मरत हत,1
नववळ बवळट आहत आपनबयकमळ झक मरन आसवरच महबवळटपन बघव लगत त डनलश सबळ बर सगळयन सड नसवत अन सगळ ऊततम अभनय करतत,1
एक सतर महणन तमहल जय गषटच रग ययल हवतयवर चडचप भजपच कण बलल तर तमहल बर रग यत रजयत वशषत मबईत 7 महनयत 550 बलतकर झलल आहत यवर कय बलणर नह,0
तमचय दघसरख लकच चढवन दतत आण मग नगरसवक सरपच पदच अपकष धरन लक बरबद हतत,1
कणल चतय बलल ह जर सग हयन आत फटकवणयच पळ आल आह दवदरज आत मग गळन गपप बस नक हय भषत सरळ धमक आह हयन आत जग दखव Approach court immediately for this threat please,1
तय गलब अन पडय मध अजन ४ ल पटरल आल असत नक तथ पस घलवतत,0
बकरच बलल अजन वळवळतय क भसरच ह आयघलय तय मनज रण च मवहण असल,1
अन पणज मधय पटलय पणतय व सजर झल दवळ पणज तअकट जअकल यथ सयबनकपस व कळ उतपदकचय मळवयल सबधत कल पणज तअकट जअकल यथ पहचल अन भरवन गल,0
अफगणसतनमधय अननधनयच सकट उभ रहल आह ImranKhan Afghanistan India Pakistan food wheat Humanity,0
सभषचदर बस लकमनय टळक यपरमण आजह य भरतमतच १३० कट पतर आहत पत नह,1
सपरण जगत भरत ह एकमव दश आह जथ अलपसखयक धरमय लक बहसखय धरमचय लकच वटल तय मरगन धरमतर करत आहत,0
छ सभजनगर सतर खडब मदर परसरत कय चल आह बघ मसलम लक यथ तब करणयचय बतत आह आण आपल यड गबड तयन हकलन लवणय ऐवज तयन परतसद दत आह तय मसलम समर उभ रहन कलम ऐकत आहत,1
दद अभनदनअस कम पहज थड दखल बगड परम नह परजळ परम आह शतकर बधववरउगच बडजव पण करत नहत दद तमच कम गरट,0
यचय आईच पचच मग मदरचद,1
अर भचय लडय तर जन करटत,1
सपरभत मडळ मझकलक घरच दश गलब rosaindica,0
त उततर परदश आण बहर चय बऊडर वर बग ज न आण गद ज न मळन 2 वरषत तळ नरमण कल आह दन दयळ उपधयय सदबहर तळ आण कनटरकटर गजरत च हत बर क,0
बघ सर हयल सदध चमन य महणतत,1
आह क लज त तर फवरकड गहण पडल,0
ऐ मदरचद भडखऊ तल परसथतच कह भन आह क नह य भडवयल तडव र चगल,1
पतपरधनचय नवससथन झललय बठकत मदजअमत शहरजनथ सह अजत डभल यचय चहऱयवरन कळतय क भरतच कवढ मठ हन झल आह त हमलय एवढ दख गळलयवर उरलल दख चहऱयवर दसणरच न,0
करण हय गषटन महतव दणर ह खळचट जमत आपलयतच आह कठण आह,1
लकषम रसत कमठकर रसत टळक पतळ समधन चक अस खल मल कयम सवरप कर य परसरत सरव वहनन परवश बद करन फर टरम चलव पणयच नवन परयटन कदर तयर हईल,1
आपल महरषटर महणज हदसथन जगवणर आण नवयन उभ करणर भगव परत आह तयमळ कतरयमजरचय नद लगन हदतवच गच कर नक जय महरषटर,1
मसज टकणय पकष झवयल य डरलग,1
सर खनल हद धरमक परथ पळलयन सशल मडयवरल जहद शवय आण धमकय दततकरकटपट शमल दललय शवयच टवटस कणह बघतल नहततरह अनषक शरमचय पळव कहलन तयच बतम कल पण तच कहल सर अल खन बबतत थबड शवन बसल आह,0
हदच रकषक आमच दवत वदनय बळसहब ठकर,0
छतरपत शवज महरज क जय वहजन मदजच मशन दवदरजच परभदव यथ मरठ कटट ल पररभ भजप यणर मबई घडवणर मरठ_कटट,0
एक ह धरम पयर जओ करम लल सरव धरम समभव च अभव,0
भजपचय भडतर टरलरसकडन कगरस नतयन टरल करणयच कम सर नन पटलच आरप,0
तयन वततमतर महणन २०२० चय सरवतल भरत सरकर मधय सध हत पण महरषटर भजप सधयचय परसथतत दशहन झल असत महणन रजयत ठवल,0
तयच लयकच आह त शळपट,1
ह न हहकमशह अमतशह अश भडवलदरच धडगस चलल आह,1
बरश मधय यवल च शख सर झलयबददल आपल हरदक अभनदन आत बरशकरन सदध अमततलय च चव चखयल मळल पण य गडबडत एक गषटच परणपण वसर पडलल दसतय बरश ह सलपर जलहयत यत आण यथल अधकत भष मरठ आह,0
लबड लक आहत ह कवळ लबडय लवलयत महरषटरत,1
मणकयच गरभपशव कढल आह,0
चळस रपय कलन कद खरद करणयच जय फकटयच औकत नह त भकरड मग आतमनरभर भरत चय डग हणत हत,1
Aghadi गढवन बघ परषरथ हयल महणतत बपचय करततवच खन पडणऱय नलयक सवरथ मदबदध चय बशरम सततसठ लचर भकऱयन बघपस पस पस पढचय जनम दह शसन असलल अककल नसलल पट फटलल नरधम बनल तर खबरदर,1
भरतभमच थर सपतर जयन १२ वय शतकमधय सरवकष समतच एलगर करत पढरपर त पजब परत अस परवस करन रषटरय_एकतमत सधत समजमधल वगणय कम करणयच परयतन कल तय सत_शरमण_नमदव महरजच आज जनमदवस तयनमतत वनमर अभवदन,0
आतच सकयलर महणज शवज महरज यचय कळतल फतर,0
उपसथतत आज ददच ऑकशन करन सवगत करणयत आल ह कषण आमचय सरव दनव परवरसठ अतयत आनद असन भवषयत सरव जनकलयणच कम ददचय हतन घडतल यत तळमतर शक नह,0
चट मळ मळल पचच Desisex Desimarathistories Marathisexstories Puchchi,1
सहल पटल पकक बरड अवलद आहस त तल कय समजणर,1
पनवत तमचय पकषल लगल आह सटनसट बज करन लकचय जवश खळणर,1
यगश त कटबचय अतयत बकट परसथतवर मत करन सवतचय बदधमतचय जरवर अहरतर महनत करन ह यश सपदन कल आहसरजयच समजक नयय मतर महणन न भऊन तयच करतवय पर पडल आह उचच शकषणसठ हरदक शभचछ ForeignScholarship,0
घरकबड खरडयतनच आरवल,1
तयचय चरतरवर अस परशनचनह नक त पणयवन वयकतमततव आहत,0
पकसतनचय ससनह चपरक अभमनसपद,0
आल अगवर तयन घतल शगवर कबडचर नऱय भगव सलम,0
खपद मनतलय गषट लहयल हत चलतच नहत 11pmWords परम परममळ,0
जगतक हदय दन सकलप करयनरग जवन जगणयच उततम आहरसह नयमत वययम करणयच WorldHeartDay HeartDay MahaArogya HealthyHeart HealthyLife IECBureau FitMaharashtra,0
आत त आजन सवतच शहणपण नक कर उगच अगलट यईल तझय पई त कमल लगल आधच रमदस आठवलन दलत करड खळन अगलट आलल आह आजन खदकम झल तर जन परत बहर यतल तझय पई त झलस नलबत तयल पण करशल आपल सडस सभळ बकचयचय फटकयत पय नक घल,0
यडय भकच भकतड हय हय,1
शकषणच घड लवन सवत ह कतरय सबत वळ घलत आहत,1
बलढण शळतल वदयरथयच औकषण करन कल सवगत,0
तझ नव रहल झट पहज हत,1
रगणलयत यगय उपचर न मळलयन रगणच परचड हळसड हत आह यच जबबदर महवकस आघड सरकर घणर क MaharashtraBachao,0
सगळ हफ चडड वल आणल तर शकय नह भडवय,1
कळ खतत क गई,0
कहह झल तर कतरयच शपट वकडच रहत Btw तय भकरचट ल टग करयच हमत नह क तमच,1
आत आदलन अस असल पहज क मडय झक मरन पहचल पहज,1
ह कसल दशभकत शकषत अध आण गबर भकत आहत फकत दवष व लकन मध चकच व अरधवट महत समजमध पसरवन गरसमज नरमण करण ह उददश सधय करतत,1
ससऱयच सनवर वर घर पटवन गळफस घत आतमहतय बदलपरतल धककदयक परकर Crime Suicide CrimeNews,0
महवखस आघडन ज वदयपठ वकस कयद अधवशनत परत करन घतल त कयद महनतन आभयस करणयसठ व खर बलणर यचय सठ घतक आह खट बलन वममरगच अवलब करणयसठ बर आह,0
५ सतरशकषणस मजजव सतरयवर घरबहर पडणयस नरबध वशषट वष परधन न कलयबददल रसतरसत चबकन फटक मरणर सघ सवयसवक आपण बघतलत क,1
जममकशमरमधय मद सरकरच वकस परव कशमरचय गगनगरसनमरग त झझल ६५ कमच भल मठ टनल लवकरच परण हत आहयमळ डगरळ भगतन जयच ३५ तसच अतर फकत १५ मनटत कवहर हणर आहयच फयद भरतय सनपरयटक तसच सथनकन सदध हणर आह,0
अखल भरतय वदयरथ परषद रतनगर शहरत छतरपत शवज महरजचय जयतनमतत शवरयचय परतमच पजन करन शवजयत सजर करणयत आल ChhatrapatiShivajiMaharaj,0
हजब परकरणच पडसद पणयत रषटरवदच आदलन तर हद महसघतरफ मरवणक HijabRow NCPProtest Pune Karnataka,0
अर मकडय लकल टरन बनवयल करड रपय लगतत मबई लकल टरन दशच वयवहर सभळत,1
यसबतच दवयग वयकतन ऑनलईन दवयग परमणपतर आण वशवक ओळखपतर दणयसठ वशष महम रबवणयत यव ह मदद मडलसथनक सवरजय ससथचय मरफत दवयग बलकचय मतन परतसहन भतत दणयसठ रजमत जजऊ अरथसहयय यजन रबवणयच मगण कल,0
इकड मरठवडयत यऊन घयन गरबचय लकरच मत तकड शरमत लकच कशल तडत घत,0
जय मसलम महलन हजब घलन सदध मसजद मधय नमज पडयल कटटर मलन परवश दत नह तयच महलन शळ आण कलजचय आत बरख घलनच अभयस करयच आह कत दगलपन असल यचय अगत,1
सवतबददल सवतच कटब करयर आण मलबददल शहरखन य इटरवहयमधय दलखलस गपप मरललय आहत ShahRukhKhan Repost,0
पशव ह छतरपतच सवक हत तयच परभव महणज मरठ समरजयच परभव त तमह सजर करतय गददर लकन,1
हयन मरठ मणसच कह घण दण नहय हयन सवतच बघयच आह आण ह अनभव आह,0
दवष आण हस पसरवणऱय हदतववदयचय कमत सरवसमनयन चकवव लगत हरदवर यथ झलल घटन दश सहन करणर नह,0
तझ आई च पचच त अरब आहस ह नकक चल बल जय शर रम बल हर हर महदव जय भवन जय शवज,1
10 मरचल भरपर शवय खणयच तयर करतय ह उरमट,1
मग कय तझय बपल पढ करयच हत क बललय,1
तझय आई वर कबर मधल अलल चढल बघ आत तल सगळ लड च हतल अरधय बलल वल बहतक हजड पण हतल तझयसरख च,1
वर शकर नतब मधय भक पसन,1
रज यगय मणस मनहज कण र धन भ क रड बज सगळ तमह,1
ऑन द फलड य पसतकचय लखक परगत बणखल यन आज भट घऊन आपलय पसतकच परत भट दल तयन सहतय कषतरतल भव वटचलसठ शभचछ,0
बरहमस एअरसपस लमटडचयच वयवसथपकय सचलक अतल दनकर रण यचयश सकळचय परतनधन सधलल सवद akshatapawar discussion atuldinkarrane,0
जगभरत पटरलचय कमत कम हत असतनह दशत पटरल ह सरकर उतपनन वढवणयच सधन असलयच परयय भजप सरकरन सवकरल आह ड मनमहन सग पतपरधन असतन आतररषटरय बजरत इधनचय कमत वढलयन दशतह दरवढ करणयच नकल घयव लगल Pressconference,0
तमहल आरयन च वढदवस महततवच पण एसट करमचऱयचय आतमहतय तयच सप आण शतकऱयचय आतमहतय तयच नकसन त तमचयसठ नह महततवच,0
ससवगतम तमहल खप मस कल पण आत पनह जमन बमब फड दवळ नतर,0
भचत कय सबध फकत मद भकतच कय त वशवस ठवतल,1
जथ गध सरख वतत तथ गडस सरख मणस तयत चक कय आह सतय बलल तर एवढ क झबत तल अफझल खच हलल पदस,1
सहकर चळवळतल करयकरतयचय वशवसमळ नरववद वजय MumbaiBank,0
सतय बलतय तयग मद नसतल तर शत परय समज परत वरचढ हईल आपलयल अस अनक यग मद नरमण करव लगतल तरच ह शत परय लक तयचय चडडत रहतल,0
मदरचद तय पसतकच नव सग नथ गडस चय कडय,1
चदय तझ गड एवढ ठकल तर हस आह र थबलवड ठत हउद मरतथब,1
परमच वड लवल अस सटर ऑफ लगर च टरलर आज ३३० वजत यतय तमचय भटल Royal Samruddhi Associates amp SwaroopSawant Presents storyoflaagir mrjokerentertainment gkfilmscreations rohitnarsinge swaroopsawant InCinemas14Jan,0
समजन लखच मरच आण आदलनतल बळ यच यत सरकरकडन करर चषट कल गल आह नदन जनच नह मनच तर लज वट दय,0
सर खप खप हरदक अभनदन तमचय कषटल पनह एकद फळ आल,0
कय र मझय बबरव चय टपय बलल आवडत तल,1
मल बरच लक वडयत कढतत 2011मधय कटक बकन मझ फसवणक कल तवहपसन म एक बकत फकत नवल खत चल ठवल आह कणतह पलस कढल नह बकत पस ठवत नह शअर मरकट मधय गतवणक नह जसत खज सटल तर एखदय गरबल जमल तवढ रशन खरद करन दत,0
परल सतन असवत ढगन तर कतरल पण असत,1
जलयकतल सरकरच कलन चट अभयनमळ भजल पतळत वढशतकऱयच उतपनन व रहणमनह सधरल आण मवआ सरकरन सथगत कलनकरत पणच कहर MVACheatsFarmer फशवसन चवसन,1
ह कय पहणच वसत आह क वरतमन पतर ह आपल करतवय वसरन चलल आह,0
सनमचय हर हरइन ल फल क बर करतत लक सगळ भचद बनडक आहत कह सनमननय अपवद वगळत मरठ,1
